id,original_text,text_for_sentiment,aspect,label_for_sentiment
5696,"ان الدكتور خالد من الأطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. إن كفاءته وإخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماماً. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للإجراءات التي يقوم بها قبل وبعد كل خطوة، بالإضافة إلى تفسيره الوافي لكل التفاصيل. لم أجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية
علاوة على ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقى الهادئة والجميلة التي يحرص الدكتور خالد على تشغيلها دائما

كما اتقدم بخالص الشكر والتقدير للدكتور خالد",ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفايق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادية والجميلة التي يحرص الدكتور خالد علي تشغيلها دايما كما اتقدم بخالص الشكر والتقدير للدكتور خالد [ASPECT] ambiance,ambiance,positive
8800,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم بإعداد هذآ البرنامج الجميل,ان هذا البرنامج ممتاز جدا واشكر كل من ساهم باعداد هذا البرنامج الجميل [ASPECT] app_experience,app_experience,positive
5323,خدمه ممتازه,خدمه ممتازه [ASPECT] service,service,positive
5580,💙💙💙,💙💙 [ASPECT] general,general,positive
5984,لااسف ولايستاهل نجمه خدمات سيئه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه,لااسف ولايستاهل نجمه خدمات سييه ولايوجد دكتور اطفال ساعه 10ليل ابني تعبان حرارته 40ومافي دكتور ليش تكدبو ع الناس وكاتبين خدمات 24ساعه [ASPECT] service,service,negative
9610,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو,اخر تحديث اذا وضعت الوجهه يقوم التطبيق بتغيير وجهة الوصول بغير ماتم ضبطه من الاول انتبهو [ASPECT] app_experience,app_experience,negative
8914,التطبيق ما يشغل الاغاني القديمة,التطبيق ما يشغل الاغاني القديمة [ASPECT] app_experience,app_experience,negative
9630,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والأستاذ هشام جزاه الله خير الجزاء,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والاستاذ هشام جزاه الله خير الجزاء [ASPECT] app_experience,app_experience,positive
9630,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والأستاذ هشام جزاه الله خير الجزاء,تطبيق ممتاز ومعامله ممتازه بارك الله فيكم والاستاذ هشام جزاه الله خير الجزاء [ASPECT] service,service,positive
6624,الموظفين سئء خدمه,الموظفين سيء خدمه [ASPECT] service,service,negative
6515,لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,لا يتم اخذ الشكوي بعين الاعتبار ويتم الاعتماد علي السايق حتي لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الي البرنامج مبلغ اخر وبعد تقديم شكوي قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه [ASPECT] service,service,negative
6515,لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,لا يتم اخذ الشكوي بعين الاعتبار ويتم الاعتماد علي السايق حتي لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الي البرنامج مبلغ اخر وبعد تقديم شكوي قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه [ASPECT] app_experience,app_experience,negative
6515,لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,لا يتم اخذ الشكوي بعين الاعتبار ويتم الاعتماد علي السايق حتي لو اخذ مبلغ اجره اضافي اكثر من اجره التطبيق وادخل الي البرنامج مبلغ اخر وبعد تقديم شكوي قالوا ايمكن اعاده المبلغ الاضافي لايوجد مصداقيه [ASPECT] price,price,negative
4515,نوعا ما جيد,نوعا ما جيد [ASPECT] general,general,positive
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير [ASPECT] ambiance,ambiance,positive
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير [ASPECT] service,service,positive
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير [ASPECT] food,food,positive
915,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير,مطعم محترم والخدمه محترمه جدا والاكل كويس والاسعار مابقتش تفرق كتير [ASPECT] price,price,neutral
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential.

نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للأسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجًا كما ينبغي، والسلطة لم تكن طازجة أيضًا. كما أن الخدمة تختلف عن تجربتنا الأولى التي كانت أفضل بكثير. وأحيانًا شعرنا كأجانب بأننا غير مُقدَّرين، وهذا كان محبطًا. نأمل بصدق أن يعمل الإدارة على تحسين ثبات الجودة في الطعام والخدمة، لأن هذا المكان لديه إمكانات رائعة.","We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولي التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة علي تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رايعة. [ASPECT] food",food,negative
832,"We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential.

نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للأسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجًا كما ينبغي، والسلطة لم تكن طازجة أيضًا. كما أن الخدمة تختلف عن تجربتنا الأولى التي كانت أفضل بكثير. وأحيانًا شعرنا كأجانب بأننا غير مُقدَّرين، وهذا كان محبطًا. نأمل بصدق أن يعمل الإدارة على تحسين ثبات الجودة في الطعام والخدمة، لأن هذا المكان لديه إمكانات رائعة.","We truly appreciate this restaurant and have enjoyed dining here many times. However, the quality has not been consistent. On several visits, the food did not seem freshly prepared and the salad was not as fresh as expected. The service also varies compared to our first experience, which was much better. As foreigners, we sometimes felt overlooked, which was disappointing. We sincerely hope the management can improve consistency in both food and service, because this place has great potential. نحن نحب هذا المطعم وقد تناولنا الطعام فيه مرات عديدة، لكن للاسف الجودة ليست ثابتة. في بعض الزيارات، لم يكن الطعام يبدو طازجا كما ينبغي، والسلطة لم تكن طازجة ايضا. كما ان الخدمة تختلف عن تجربتنا الاولي التي كانت افضل بكثير. واحيانا شعرنا كاجانب باننا غير مقدرين، وهذا كان محبطا. نامل بصدق ان يعمل الادارة علي تحسين ثبات الجودة في الطعام والخدمة، لان هذا المكان لديه امكانات رايعة. [ASPECT] service",service,negative
6560,متعبه جدا من خلال خدمة العملاء,متعبه جدا من خلال خدمة العملاء [ASPECT] service,service,negative
6745,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتى رقم تواصل مافي ايش القرف ذا,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتي رقم تواصل مافي ايش القرف ذا [ASPECT] service,service,negative
6745,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتى رقم تواصل مافي ايش القرف ذا,لي ساعه ونص انتظر قبول مشوار و حاولت اتواصل مع الدعم ولا احد يرد و تقييم تجربتي للتطبيق زفت و سيء يعني حتي رقم تواصل مافي ايش القرف ذا [ASPECT] app_experience,app_experience,negative
9783,أسوأ تطبيق وأسوأ تجربة تطبيق فاشل ويضع مصلحة أصحاب الشركات أعلى من مصلحة العملاء وسوف احذفه ولن اتعامل به ابداً وفيه بدائله مميزة وكثيرة وافضل في الخدمة والأسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدايله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية [ASPECT] app_experience,app_experience,negative
9783,أسوأ تطبيق وأسوأ تجربة تطبيق فاشل ويضع مصلحة أصحاب الشركات أعلى من مصلحة العملاء وسوف احذفه ولن اتعامل به ابداً وفيه بدائله مميزة وكثيرة وافضل في الخدمة والأسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدايله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية [ASPECT] service,service,negative
9783,أسوأ تطبيق وأسوأ تجربة تطبيق فاشل ويضع مصلحة أصحاب الشركات أعلى من مصلحة العملاء وسوف احذفه ولن اتعامل به ابداً وفيه بدائله مميزة وكثيرة وافضل في الخدمة والأسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية,اسوا تطبيق واسوا تجربة تطبيق فاشل ويضع مصلحة اصحاب الشركات اعلي من مصلحة العملاء وسوف احذفه ولن اتعامل به ابدا وفيه بدايله مميزة وكثيرة وافضل في الخدمة والاسعار وجربوهم تجربتي مع بوكينج غير جيدة ولا فيها انصاف ولا حيادية [ASPECT] price,price,negative
7386,حلو,حلو [ASPECT] general,general,positive
3340,"أول تجربة وغالبا الأخيرة، طلبت دليفري جالي بعد  ،
اكتر من ساعتين،  وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم،
تجربة سيئة جدا",اول تجربة وغالبا الاخيرة، طلبت دليفري جالي بعد ، اكتر من ساعتين، وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم، تجربة سيية جدا [ASPECT] delivery,delivery,negative
3340,"أول تجربة وغالبا الأخيرة، طلبت دليفري جالي بعد  ،
اكتر من ساعتين،  وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم،
تجربة سيئة جدا",اول تجربة وغالبا الاخيرة، طلبت دليفري جالي بعد ، اكتر من ساعتين، وكنت عايز اكنسل الاورد،لكن رقمهم مبيردش خالص تاني، والاوردر حرفيا جالي وانا كنت نازل خلاص مالبيت، خدته وكلته تاني يوم، تجربة سيية جدا [ASPECT] service,service,negative
638,"مطعم فطور غداء عشاء
تم تجربة الفطور
+ طريقة تقديم وطبخ مختلفة تستاهل التجربة.
+ تنوع كبير في الاصناف
- لا توجد مواقف

جودة الأكل  10/09
لذة الأكل     10/10
النظافة        10/10
الجلسة        10/10
الخدمة        10/10
السعر          $$$/$$$$$ مقولة جدا",مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$/$$ مقولة جدا [ASPECT] food,food,positive
638,"مطعم فطور غداء عشاء
تم تجربة الفطور
+ طريقة تقديم وطبخ مختلفة تستاهل التجربة.
+ تنوع كبير في الاصناف
- لا توجد مواقف

جودة الأكل  10/09
لذة الأكل     10/10
النظافة        10/10
الجلسة        10/10
الخدمة        10/10
السعر          $$$/$$$$$ مقولة جدا",مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$/$$ مقولة جدا [ASPECT] cleanliness,cleanliness,positive
638,"مطعم فطور غداء عشاء
تم تجربة الفطور
+ طريقة تقديم وطبخ مختلفة تستاهل التجربة.
+ تنوع كبير في الاصناف
- لا توجد مواقف

جودة الأكل  10/09
لذة الأكل     10/10
النظافة        10/10
الجلسة        10/10
الخدمة        10/10
السعر          $$$/$$$$$ مقولة جدا",مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$/$$ مقولة جدا [ASPECT] ambiance,ambiance,positive
638,"مطعم فطور غداء عشاء
تم تجربة الفطور
+ طريقة تقديم وطبخ مختلفة تستاهل التجربة.
+ تنوع كبير في الاصناف
- لا توجد مواقف

جودة الأكل  10/09
لذة الأكل     10/10
النظافة        10/10
الجلسة        10/10
الخدمة        10/10
السعر          $$$/$$$$$ مقولة جدا",مطعم فطور غداء عشاء تم تجربة الفطور + طريقة تقديم وطبخ مختلفة تستاهل التجربة. + تنوع كبير في الاصناف - لا توجد مواقف جودة الاكل 10/09 لذة الاكل 10/10 النظافة 10/10 الجلسة 10/10 الخدمة 10/10 السعر $$/$$ مقولة جدا [ASPECT] service,service,positive
